TIME,DV,ID,DOSE,MODEL,Treatment,SAMPLE_ID,V0
0,-1.946275216,12,50,2,OLAP50,PDX060,0.142805
3,-1.518099245,12,50,2,OLAP50,PDX060,0.142805
8,-1.298664509,12,50,2,OLAP50,PDX060,0.142805
12,-0.558616288,12,50,2,OLAP50,PDX060,0.142805
16,-0.382392832,12,50,2,OLAP50,PDX060,0.142805
20,-0.039814377,12,50,2,OLAP50,PDX060,0.142805
24,-0.21644603,12,50,2,OLAP50,PDX060,0.142805
28,-0.864647499,12,50,2,OLAP50,PDX060,0.142805
31,-1.323357121,12,50,2,OLAP50,PDX060,0.142805
0,-1.723951299,13,50,2,OLAP50,PDX060,0.17836
3,-1.176986629,13,50,2,OLAP50,PDX060,0.17836
8,-1.176986629,13,50,2,OLAP50,PDX060,0.17836
12,-0.74530409,13,50,2,OLAP50,PDX060,0.17836
16,-0.297791669,13,50,2,OLAP50,PDX060,0.17836
20,-0.073834889,13,50,2,OLAP50,PDX060,0.17836
24,-0.204125545,13,50,2,OLAP50,PDX060,0.17836
28,-0.186347651,13,50,2,OLAP50,PDX060,0.17836
31,0.047947424,13,50,2,OLAP50,PDX060,0.17836
35,0.191136755,13,50,2,OLAP50,PDX060,0.17836
0,-1.399310545,15,50,2,OLAP50,PDX060,0.24676704
3,-1.43802076,15,50,2,OLAP50,PDX060,0.24676704
8,-0.978964326,15,50,2,OLAP50,PDX060,0.24676704
12,-0.625630598,15,50,2,OLAP50,PDX060,0.24676704
16,-0.617639862,15,50,2,OLAP50,PDX060,0.24676704
20,-0.10527052,15,50,2,OLAP50,PDX060,0.24676704
24,0.083742734,15,50,2,OLAP50,PDX060,0.24676704
0,-2.44743747,16,50,2,OLAP50,PDX060,0.086515
3,-2.44743747,16,50,2,OLAP50,PDX060,0.086515
8,-2.602339747,16,50,2,OLAP50,PDX060,0.086515
12,-1.900472799,16,50,2,OLAP50,PDX060,0.086515
16,-2.136815433,16,50,2,OLAP50,PDX060,0.086515
20,-1.323357121,16,50,2,OLAP50,PDX060,0.086515
24,-1.323357121,16,50,2,OLAP50,PDX060,0.086515
0,-2.733368009,17,50,2,OLAP50,PDX060,0.065
4,-1.625645346,17,50,2,OLAP50,PDX060,0.065
8,-1.723951299,17,50,2,OLAP50,PDX060,0.065
12,-1.237157923,17,50,2,OLAP50,PDX060,0.065
15,-1.071712669,17,50,2,OLAP50,PDX060,0.065
19,-1.298664509,17,50,2,OLAP50,PDX060,0.065
0,-2.186403339,20,50,2,OLAP50,PDX060,0.11232
4,-2.44743747,20,50,2,OLAP50,PDX060,0.11232
7,-2.186403339,20,50,2,OLAP50,PDX060,0.11232
11,-2.186403339,20,50,2,OLAP50,PDX060,0.11232
14,-2.186403339,20,50,2,OLAP50,PDX060,0.11232
17,-2.153613516,20,50,2,OLAP50,PDX060,0.11232
20,-1.723951299,20,50,2,OLAP50,PDX060,0.11232
23,-1.723951299,20,50,2,OLAP50,PDX060,0.11232
28,-1.639438668,20,50,2,OLAP50,PDX060,0.11232
30,-2.186403339,20,50,2,OLAP50,PDX060,0.11232
34,-1.946275216,20,50,2,OLAP50,PDX060,0.11232
36,-1.654958428,20,50,2,OLAP50,PDX060,0.11232
41,-1.205574086,20,50,2,OLAP50,PDX060,0.11232
44,-0.930174162,20,50,2,OLAP50,PDX060,0.11232
48,-0.807806351,20,50,2,OLAP50,PDX060,0.11232
0,-2.186403339,21,100,2,OLAP100,PDX060,0.11232
3,-1.843996367,21,100,2,OLAP100,PDX060,0.11232
8,-1.695780422,21,100,2,OLAP100,PDX060,0.11232
12,-1.399310545,21,100,2,OLAP100,PDX060,0.11232
16,-0.970008014,21,100,2,OLAP100,PDX060,0.11232
20,-0.594518586,21,100,2,OLAP100,PDX060,0.11232
24,-0.619534703,21,100,2,OLAP100,PDX060,0.11232
0,-2.136815433,22,100,2,OLAP100,PDX060,0.11803012
3,-1.141483256,22,100,2,OLAP100,PDX060,0.11803012
8,-1.323357121,22,100,2,OLAP100,PDX060,0.11803012
12,-0.313940411,22,100,2,OLAP100,PDX060,0.11803012
16,-0.208666452,22,100,2,OLAP100,PDX060,0.11803012
20,0.05125995,22,100,2,OLAP100,PDX060,0.11803012
24,0.207274298,22,100,2,OLAP100,PDX060,0.11803012
0,-2.44743747,23,100,2,OLAP100,PDX060,0.086515
5,-2.340283222,23,100,2,OLAP100,PDX060,0.086515
9,-2.186403339,23,100,2,OLAP100,PDX060,0.086515
13,-1.516972685,23,100,2,OLAP100,PDX060,0.086515
17,-1.723951299,23,100,2,OLAP100,PDX060,0.086515
21,-1.323357121,23,100,2,OLAP100,PDX060,0.086515
0,-2.186403339,24,100,2,OLAP100,PDX060,0.11232
3,-1.723951299,24,100,2,OLAP100,PDX060,0.11232
8,-1.376495868,24,100,2,OLAP100,PDX060,0.11232
12,-0.970008014,24,100,2,OLAP100,PDX060,0.11232
16,-0.684077475,24,100,2,OLAP100,PDX060,0.11232
20,-0.106961797,24,100,2,OLAP100,PDX060,0.11232
24,-0.112038318,24,100,2,OLAP100,PDX060,0.11232
0,-2.186403339,26,100,2,OLAP100,PDX060,0.11232
3,-2.288107994,26,100,2,OLAP100,PDX060,0.11232
8,-2.186403339,26,100,2,OLAP100,PDX060,0.11232
12,-2.186403339,26,100,2,OLAP100,PDX060,0.11232
16,-0.970008014,26,100,2,OLAP100,PDX060,0.11232
20,-0.653926467,26,100,2,OLAP100,PDX060,0.11232
24,-0.595657559,26,100,2,OLAP100,PDX060,0.11232
0,-0.874697835,27,100,2,OLAP100,PDX060,0.416988
4,-0.726954254,27,100,2,OLAP100,PDX060,0.416988
8,-0.496922719,27,100,2,OLAP100,PDX060,0.416988
0,-1.686616193,28,100,2,OLAP100,PDX060,0.18514496
4,-1.156188861,28,100,2,OLAP100,PDX060,0.18514496
8,-0.895106706,28,100,2,OLAP100,PDX060,0.18514496
0,-4.26584488,29,100,2,OLAP100,PDX060,0.01404
4,-4.26584488,29,100,2,OLAP100,PDX060,0.01404
7,-5.482240205,29,100,2,OLAP100,PDX060,0.01404
10,-4.26584488,29,100,2,OLAP100,PDX060,0.01404
0,-1.946275216,30,100,2,OLAP100,PDX060,0.142805
4,-2.44743747,30,100,2,OLAP100,PDX060,0.142805
7,-2.44743747,30,100,2,OLAP100,PDX060,0.142805
11,-2.44743747,30,100,2,OLAP100,PDX060,0.142805
14,-1.946275216,30,100,2,OLAP100,PDX060,0.142805
17,-1.723951299,30,100,2,OLAP100,PDX060,0.142805
20,-1.639438668,30,100,2,OLAP100,PDX060,0.142805
23,-1.639438668,30,100,2,OLAP100,PDX060,0.142805
28,-1.323357121,30,100,2,OLAP100,PDX060,0.142805
30,-1.855359167,30,100,2,OLAP100,PDX060,0.142805
0,-1.946275216,109,50,2,OLAP50,PDX060,0.142805
